#fields:Hanzi	Pinyin	English	Notes	Tags
外语	wàiyǔ	foreign language	外 wài (foreign) + 语 yǔ (language). A language other than one''s own. 学外语 "to study a foreign language," 外语学院 "a foreign-languages institute."	space meaning family characters grammar culture
完成	wánchéng	to complete; to accomplish; to finish	完 wán (whole; to finish) + 成 chéng (to bring to completion). To carry a task all the way to done: 完成任务 "to complete a task," 完成作业 "to finish the homework." The everyday word for getting something fully finished.	meaning evaluation change characters grammar daily-life language
完好	wánhǎo	intact; in good condition		virtue social daily-life
完美	wánměi	perfect; flawless		aesthetics culture philosophy grammar daily-life language
完全	wánquán	completely; entirely; fully	完 wán (finished; whole) + 全 quán (complete). The standard adverb for "completely," to the full degree with nothing left over: 完全同意 "completely agree," 完全没问题 "no problem at all." Negated, it gives "not at all": 完全不对.	meaning evaluation characters quality language cosmology science grammar daily-life intensifier even emphasis
完全同意	wánquán tóngyì	"Completely agree	"Completely agree." Strong endorsement. Used when you want to back the speaker without reservation. The 完全 ("completely") makes it emphatic; reserve for moments when full agreement is what you actually mean.	daily spoken language etiquette
完整	wánzhěng	complete; whole; intact		grammar daily-life language
玩	wán	to play; to have fun		daily-life grammar culture
玩笑	wánxiào	a joke; a prank; banter	玩 wán (to play) + 笑 xiào (laugh). Play-laughter: a joke made between people who are at ease together. 开玩笑 kāi wánxiào (to crack a joke, to be kidding) is one of the highest-frequency phrases in spoken Mandarin.	emotion communication characters
玩笑话	wánxiàohuà	words said in jest		emotion communication characters
挽救	wǎnjiù	to save, to retrieve	挽 (wǎn, to pull back) + 救 (rescue). To salvage something already sliding toward loss: a failing marriage, a patient's life, a tottering situation. The emphasis is on reversing a decline.	humanity society characters
婉约	wǎnyuē	Graceful and restrained , the dominant stylistic tradition of the 词, characterized by delicate emotion, intimate scale, and subjects of love, beauty, and seasonal melancholy. Li Yu, Liu Yong, and Li Qingzhao are its central figures.	Graceful and restrained , the dominant stylistic tradition of the 词, characterized by delicate emotion, intimate scale, and subjects of love, beauty, and seasonal melancholy. Li Yu, Liu Yong, and Li Qingzhao are its central figures.	poetry literature classical song history culture
晚	wǎn	evening; late		culture history cosmology
万里	wànlǐ	ten thousand li; immense distance; vast	万 (ten thousand) + 里 lǐ (Chinese unit of distance, roughly 500m). Ten thousand li is nominally 5,000 km, but the compound functions as a hyperbole for any vast, daunting distance. 万里长城 (Wànlǐ Chángchéng, "the ten-thousand-li Great Wall") is the most famous usage.	cosmology scale language history fortification border great-wall qin han ming architecture geography dynasty
万事如意	wànshì rúyì	may all ten thousand things go as you wish; all the best	万 (myriad) + 事 shì (matters, things) + 如意 rúyì (as one wishes). The standard all-occasion blessing, appearing on red envelopes, greeting cards, New Year couplets, and toasts.	cosmology scale language
万岁	wàn suì	ten thousand years; long live (acclamation)	万 (ten thousand) + 岁 suì (years of age; year). The imperial acclamation: 皇帝万岁 (huángdì wàn suì), "long live the Emperor." Reserved exclusively for the emperor in traditional usage; to use it for anyone else was a capital offense.	cosmology scale language
万物	wànwù	all things; the myriad phenomena; everything that exists	万 (myriad) + 物 wù (thing, object, phenomenon). The standard classical and literary expression for "all of existence." In Daoist thought, the ten-thousand things emerge from the interplay of yin and yang, and the Dao underlies them all.	cosmology scale language things science nature characters philosophy yin-yang binary classical taoism literature history heaven existence
万象	wànxiàng	all phenomena; the ten thousand forms		cosmology scale language
万一	wànyī	just in case; in the unlikely event that; one in ten thousand	万 (ten thousand) + 一 (one). Literally, one part in ten thousand , the probability so small it barely registers. In usage: a concession to contingency.	cosmology scale language conjunction syntax conditional
汪汪	wāngwāng	woof woof		nature daily-life characters
亡	wáng	lost; fled; gone		chengyu classical idioms planning ethics colloquial daily-life
王朝	wángcháo	dynasty; royal house: the line of a ruling family	王 wáng (king) + 朝 cháo (reign). A dynasty seen as a ruling family or royal house, often used of a single line of monarchs and, by extension, of any long-dominant power: 商业王朝 "a business empire," a sports 王朝.	dynasty history direction characters politics philosophy worldview
王道	wángdào	the kingly way; governance by virtue rather than force	王 wáng (king; ruler) + 道 dào (way; path). The Confucian ideal of legitimate rule: the virtuous ruler transforms those around him through moral example, not coercion. His virtue radiates outward, bringing peace and order spontaneously. Contrasted sharply with 霸道, the way of force.	daoism philosophy path
王国	wángguó	kingdom		radical royalty history philosophy
王后	wánghòu	queen; consort of a king	王 wáng (king; ruler of a principality) + 后 (consort). The consort of a 王 (king or prince). In historical Chinese usage, 王 ranked below 皇帝 (emperor), so 王后 was below 皇后. In modern usage, 王后 translates "queen consort" in Western contexts.	direction time royalty grammar
王牌	wángpái	trump card, ace		radical royalty history philosophy
王维	Wáng Wéi	Wang Wei — Tang poet-painter		arts nature taoism aesthetics classical art culture visual literary
王羲之	Wáng Xīzhī	Wang Xizhi — Sage of Calligraphy		calligraphy arts writing classical history aesthetics culture
王阳明	Wáng Yángmíng	philosopher of 心学 (mind-learning)		ming great-wall zhenghe ethics virtue confucianism human-nature philosophy mind wang-yangming
王子	wángzǐ	prince		radical royalty history philosophy
网红	wǎnghóng	internet celebrity		color culture symbolism
网络	wǎngluò	internet; network		culture daily connections society meaning characters social
网民	wǎngmín	netizen; internet user		society politics social characters
网友	wǎngyǒu	online friend; internet friend	A friend made online, from 网 wǎng (net) + 友 yǒu (friend). A thoroughly modern coinage and an extremely common one. Note that 友 contracts here from 朋友, a regular pattern: 友 alone serves as the bound "friend" element in compounds (校友 alumnus, 战友 comrade-in-arms, 笔友 pen pal).	vocabulary social connections daily-life
网站	wǎngzhàn	website	网 (wǎng, net) + 站 (station): a website, a fixed point on the internet. The everyday word for any site you visit, from a shop to a search engine.	motion body daily-life characters
往年	wǎngnián	former years		grammar direction motion communication
往生	wǎngshēng	going toward rebirth — the Pure Land term for death as aspiration	往 wǎng (to go toward) + 生 shēng (life; rebirth). The Pure Land term for a practitioner's death, framed not as loss but as aspiration fulfilled.	pure-land amitabha faith
忘记	wàngjì	to forget		memory communication meaning characters
忘我	wàngwǒ	selfless absorption; to forget oneself		grammar humanity social
望闻问切	wàng wén wèn qiē	The four examinations , looking (observation of complexion, tongue, posture), listening/smelling (voice, breath), asking (history, symptoms), and touching (pulse diagnosis). The complete TCM diagnostic protocol compressed into four characters.	The four examinations , looking (observation of complexion, tongue, posture), listening/smelling (voice, breath), asking (history, symptoms), and touching (pulse diagnosis). The complete TCM diagnostic protocol compressed into four characters.	medicine health classical
望远镜	wàngyuǎnjìng	telescope; binoculars	望 wàng (to look far) + 远 yuǎn (far) + 镜 jìng (lens, mirror). Literally "a lens for looking far": the instrument that brings the distant near. 天文望远镜 is an astronomical telescope; 双筒望远镜 is a pair of binoculars. A neat transparent compound that reads itself.	perception feeling evaluation characters
危害	wēihài	to harm; harm, hazard	危 (endanger) plus 害 (harm). The danger turned active: to damage or jeopardize something, and the resulting harm itself. Common with health, society, environment.	emotion society characters perception humanity
危机	wēijī	crisis	危 (danger) plus 机 (critical juncture). A crisis: the decisive, threatening turn in an economy, a relationship, an illness, a career.	perception humanity characters
危急	wēijí	critical; urgent and dangerous	危 (danger) plus 急 (urgent). Danger compressed by time: a situation that is both perilous and pressing, where a hospital patient or a battlefield hangs by a thread.	perception humanity characters
危楼	wēilóu	a dangerous building; a lofty tower	危 (here in both senses) plus 楼 (multi-storey building). In modern use, a condemned structure unsafe to enter. In classical poetry the same word means a tall tower rising into the air, the older lofty reading of 危.	perception humanity characters
危险	wēixiǎn	danger; dangerous	危 (danger) plus 险 (steep, perilous), a doubling of two height-and-hazard words into the standard everyday term for danger. Works as both adjective (this is dangerous) and noun (a danger).	perception humanity characters
危重	wēizhòng	critically ill		perception humanity characters
威望	wēiwàng	prestige; authority and esteem	威 wēi (authority, awe) + 望 wàng (esteem). The prestige that commands respect and deference, the standing of someone in a position of leadership: 树立威望 "to establish one's prestige." Stronger than plain reputation, it carries a sense of earned authority.	perception feeling evaluation characters
威武	wēiwǔ	powerful and dignified; imposing; mighty	威 wēi (awe, authority) + 武 wǔ (martial). Powerful and commanding in bearing, mighty in a dignified way: 威武的将军 "an imposing general," 威武雄壮 "majestic and powerful." Describes the impressive, formidable presence of soldiers, guards, or anything built on a grand and strong scale.	martial-arts wuxia honor characters
威胁	wēixié	threat; to threaten		perception humanity characters
微	wēi	minute; subtle; trace		confucianism daily-life adjectives
微风	wēifēng	gentle breeze		nature culture cosmology
微小	wēixiǎo	tiny; minuscule; microscopic	微 wēi (minute; subtle; trace) + 小 xiǎo (small). Doubles the smallness: 微 already indicates near-invisibility (as in 微生物 microorganism, 微波 microwave), and 小 compounds that. Used for things at the scale of cells, particles, or imperceptible contributions. A higher register than 很小.	confucianism daily-life adjectives
微笑	wēixiào	to smile; a smile	微 wēi (faint; slight; minute) + 笑 xiào (laugh/smile). A small, soundless laugh: the smile. The word that names the warm, closed-lipped expression, distinct from the open-mouthed 大笑.	emotion communication characters
围城	wéichéng	a besieged city; to lay siege to a city	围 wéi (to surround; to encircle) + 城 chéng (city). Literally an encircled city, both the act of besieging one and the besieged city itself.	fortification settlement geography characters
围困	wéikùn	to besiege; to hem in	围 (surround) + 困 (trap). The concrete, original sense: to ring something so it cannot break out. Used for armies besieging a city and, by extension, for floodwaters or crowds that cut people off.	humanity daily-life characters
围棋	wéiqí	Go (the board game)		color darkness symbolism
违法	wéifǎ	to break the law; to act illegally	违 wéi (to violate; to go against) + 法 fǎ (law). To step over the line the law draws: 违法行为 "an unlawful act." The mirror image of 合法, the foot landing outside the level mark.	legal religion meaning characters
唯一	wéiyī	the only one; sole; unique	唯 wéi (only; alone) + 一. Used before nouns: 唯一的选择 (the only choice), 唯一的儿子 (only son). Stronger than 只有 zhǐyǒu in its emphasis on singularity , the uniqueness is total, not merely circumstantial. In formal or literary contexts: 唯一真神 (the one true God, in religious translation).	cosmology philosophy taoism confucianism
维吾尔族	Wéiwú'ěrzú	The Uyghur people , the Turkic-speaking Muslim majority population of the Tarim Basin oasis cities, one of China's fifty-five recognized ethnic minorities. The word Uyghur (维吾尔) is a transliteration of the Turkic name for the people, meaning roughly "united" or "allied."	The Uyghur people , the Turkic-speaking Muslim majority population of the Tarim Basin oasis cities, one of China's fifty-five recognized ethnic minorities. The word Uyghur (维吾尔) is a transliteration of the Turkic name for the people, meaning roughly "united" or "allied."	geography history culture islam uyghur silk trade identity
维系	wéixì	to hold together; to maintain (a bond)	维 wéi (to tie; to hold) + 系 xì (bind). To keep a relationship or order from coming apart: 维系感情 "to keep a bond alive," 维系和平 "to maintain peace." Two binding words doubled, the threads kept firmly in hand.	connections society meaning characters
伟大	wěidà	great; magnificent; lofty	伟 wěi (towering, magnificent) + 大 dà. The highest register of greatness, used for great historical figures, great achievements, and (frequently in political contexts) the greatness of the Party or state. In everyday speech it can be slightly ironic if overused.	cosmology scale daily-life
伪君子	wěi jūnzǐ	hypocrite; false gentleman	伪 wěi (false, counterfeit) + 君子. A person who performs the outward markers of virtue without the inward character , the one who speaks of 义 while calculating 利. The word's force comes precisely from the prestige of what it negates.	confucianism ethics virtue analects
纬	wěi	weft thread; latitude		classics commerce meaning characters
委婉	wěiwǎn	tactful, indirect		daily spoken language etiquette
萎凋	wěidiāo	withering — the long controlled drying		tea white-tea culinary fujian
卫生	wèishēng	hygiene; health		life radical biology
卫生间	wèishēngjiān	bathroom; toilet; restroom	卫生 wèishēng (hygiene) + 间 jiān (room). The polite, standard word for a bathroom in homes and public buildings. A common synonym is 洗手间 xǐshǒujiān.	time space measure-words characters
卫星	wèixīng	satellite (natural or artificial)	卫 (guard) + 星: the guard star that attends a planet. Covers the moon, the GPS constellation, and the dish antenna (卫星天线). The Great Leap Forward idiom 放卫星 ("launching a satellite") still means announcing an inflated achievement.	astronomy cosmology nature
为此	wèicǐ	for this reason; because of this; to this end	为 wèi (for; on account of) + 此 cǐ (this; the aforementioned). A formal connective linking back to a preceding reason or context and introducing what was done in response. Stronger in register than 因此 yīncǐ (therefore), carrying a sense of specific, deliberate response to the stated situation.	grammar classical taoism philosophy daoism wuwei syntax
为了	wèile	in order to; for the sake of; for the purpose of	为 wèi (for; toward) + 了 le (grammatical completion particle; here a suffix to 为). The standard purpose marker in modern Chinese. 为了 introduces the goal or beneficiary of an action and can appear at the start of a sentence or clause.	grammar classical taoism philosophy daoism wuwei syntax conjunction particle literary communication pragmatics
为了 + 目的	wèile + goal	in order to; for the sake of	When the real answer is a purpose rather than a cause, use 为了, not 因为. 为了 names the goal the action serves: 为了健康，他每天跑步 ("for the sake of health, he runs every day"). Asking specifically about purpose, you can use 为了什么 ("to what end").	grammar communication conjunction pragmatics
为情所困	wèi qíng suǒ kùn	to be trapped by emotion; entangled in feeling		grammar classical syntax passive literary particles confucianism analects
为人所知	wèi rén suǒ zhī	to be known by people; to become widely known		grammar classical syntax passive literary particles confucianism analects
为所欲为	wèi suǒ yù wéi	to do whatever one pleases; to act without restraint		grammar classical syntax passive literary particles confucianism analects
未必	wèibì	not necessarily; may not be the case	未 wèi (not yet; not necessarily , the classical negator of something assumed or expected) + 必 bì (certainly). The combination reverses the certainty: what seemed certain is not settled. A courteous, measured way to challenge an assumption without direct contradiction.	grammar modal logic classical ethics philosophy
未来	wèilái	the future (not yet arrived)		direction motion grammar
位于	wèiyú	to be located at; to be situated in	位 wèi (position) + 于 yú (at). The standard verb for stating where a place sits, common in geography and description: 北京位于中国北部 "Beijing is located in the north of China."	classical cohesion meaning characters
位置	wèizhi	position; location		space geometry meaning characters
味道	wèidào	taste; flavor		food culinary daily-life characters body culture perception
魏	wèi	Cao Wei — the north, the strongest state	Founded in 220 when 曹丕 Cao Pi, son of Cao Cao, finally deposed the last Han emperor and took the throne. Wei held the populous, wealthy north China plain, the old heartland, and was the most powerful of the three in territory, population, and armies. Its capital was at 洛阳 Luoyang.	history dynasty han statecraft strategy classical
温饱	wēnbǎo	warmth and food; subsistence	温 (wēn, warm) + 饱 (fed): warm enough and fed enough, the baseline of a decent life. 温饱 names the threshold of basic livelihood in economic and political language, as in 解决温饱问题 (jiějué wēnbǎo wèntí, to solve the subsistence problem).	food body daily-life characters
温度	wēndù	Temperature, in 度 (degrees Celsius)	Temperature, in 度 (degrees Celsius). 气温 is the air temperature of forecasts; 体温 is body temperature, the one measured at clinic doors.	nature daily-life characters weather spoken vocabulary
温和	wēnhé	gentle; mild; moderate		confucianism social grammar philosophy
温暖	wēnnuǎn	warm		nature time emotion characters cosmology yin-yang
文笔	wénbǐ	writing style; literary skill	文 wén (writing; letters) + 笔 bǐ (pen). The quality of someone's prose, the line their pen draws across a page: 文笔流畅 "fluent, flowing style." Praise or critique aimed at how a thing is written, not what it says.	calligraphy writing brush arts
文房	wénfáng	The scholar study, the room where the Four Treasures are kept and used. Literally "the room of writing." The aesthetic of the study, quiet, ordered, with good natural light, was itself a moral and aesthetic statement about the conditions necessary for serious intellectual and artistic work.	The scholar study, the room where the Four Treasures are kept and used. Literally "the room of writing." The aesthetic of the study, quiet, ordered, with good natural light, was itself a moral and aesthetic statement about the conditions necessary for serious intellectual and artistic work.	calligraphy art brush culture history classical
文化大革命	Wénhuà Dàgémìng	Cultural Revolution (1966–1976)	文化 (cultural) + 大 (great) + 革命 gémìng (revolution). The political campaign launched by Mao Zedong in 1966 to eliminate "bourgeois" and "counterrevolutionary" elements from Chinese society and culture.	history politics economy modern cultural-revolution mao 1966 culture society language
文化交流	wénhuà jiāoliú	cultural exchange	文化 (culture) + 交流 jiāoliú (exchange, mutual flow). The official term for cultural diplomacy programs, art exhibitions, study exchanges, and any organized cross-cultural contact. 中美文化交流 (Sino-American cultural exchange) covers everything from touring orchestras to academic partnerships.	culture society language history
文化遗产	wénhuà yíchǎn	cultural heritage	文化 (culture) + 遗产 yíchǎn (legacy, inheritance , 遗 left-behind + 产 property/birth). The inherited deposit of past civilization. 世界文化遗产 (World Cultural Heritage, UNESCO designation) is a major category of Chinese public pride.	culture society language history
文化自信	wénhuà zìxìn	cultural confidence	文化 (culture) + 自信 (self-confidence). Belief in the value of one's own cultural tradition without need for external validation. As a policy concept, 文化自信 frames the assertion of Chinese civilizational values as a counter to what official discourse calls "cultural hegemony" (文化霸权) by Western nations.	culture society language history
文件	wénjiàn	document; file; paperwork	文 wén (writing; text) + 件 jiàn (a piece). A written document, an official paper, or a computer file. The word covers both physical paperwork and digital files: on a screen, 文件 is exactly the word for a file, and 文件夹 wénjiànjiā is a folder.	measure-words things meaning characters
文人	wénrén	literati — the scholarly class who cultivated the guqin	文 wén (culture; writing; civil) + 人 rén (person). The educated class in imperial China: scholars, poets, painters, officials who defined their identity through cultural cultivation rather than martial or commercial pursuits. The guqin was, more than any other object, the emblem of 文人 identity.	arts music classical confucianism literature
文人画	wénrén huà	literati painting; scholar painting	文人 wénrén (literatus; cultivated scholar-official) + 画 huà (painting). The tradition of painting as personal cultivation and self-expression rather than as commissioned craft. Theorized by Su Shi 苏轼 and Mi Fu 米芾 in the Northern Song, dominant from the Yuan onward.	arts nature taoism aesthetics classical art culture visual literary
文殊	Wénshū	Mañjuśrī — bodhisattva of wisdom	Sanskrit Mañjuśrī ("Gentle Glory"). The bodhisattva of wisdom 智慧 zhìhuì, depicted holding a flaming sword (to cut through delusion) and riding a blue lion. Associated with Mount Wutai 五台山 in Shanxi, China's sacred mountain for wisdom, where Mañjuśrī was believed to reside and manifest.	buddhism transmission history
文学	wénxué	literature	文 wén (writing; culture; pattern) + 学 xué (learning). The discipline of literature , both the creative output (novels, poetry, essays) and the scholarly study of it. 文学家 wénxuéjiā = writer, literary figure. 中国文学 = Chinese literature. 古典文学 = classical literature. 现代文学 = modern literature.	confucianism culture history literature education philosophy arts
文言文	wényánwén	classical written Chinese	文 wén (writing; written form) + 言 yán (speech; language) + 文 wén (text). The written form of classical spoken Chinese, crystallized in the pre-Han period and used as the literary and official written standard for approximately 2,000 years.	writing language meta
文章	wénzhāng	essay; article		writing language meta
文字	wénzì	written language; script; characters collectively	文 wén (writing; culture; pattern; civilization) + 字 zì (character). Broader than 字 alone. 文字 covers the entire written tradition: individual characters, the system, the culture, and the civilization that writing makes possible.	literacy culture calligraphy writing language meta
闻	wén	to hear (passively); to smell		perception daily-life confucianism
稳定	wěndìng	stable; steady; to stabilize	稳 wěn (steady; firm) + 定 dìng (settled). Holding level without swinging, said of prices, jobs, moods, signals, and states. 稳定的工作 "a stable job," 局势稳定 "the situation is stable."	meaning timing evaluation characters
问候	wènhòu	to send regards; to greet; to ask after someone	问 wèn (to ask after) + 候 hòu (to wait on; to attend). To inquire warmly after another person, in speech or in writing: 致以亲切的问候 "to extend warm regards."	time weather daily-life characters communication language society
蜗牛	wōniú	snail	蜗 (wō, the snail's shell, with the 虫 insect radical) + 牛. The little horns of a snail earned it the ox; the word doubles as a byword for anything slow.	nature food characters
我不太同意	wǒ bù tài tóngyì	"I don't quite agree	"I don't quite agree." The 不太 ("not too") softens a disagreement into something closer to "I'm not sure about that." Polite, leaves room for further discussion. Common in considered conversations where you want to push back without confrontation.	daily spoken language etiquette
我的	wǒ de	my, mine		grammar humanity social
我的书	wǒ de shū	my book — possessive pronoun + 的 + noun	的 marks possession and belonging: pronoun or noun + 的 + noun. This is structurally identical to the adjective pattern , the modifier always comes before 的 which always precedes the noun.	particle complement adverb
我的意思是	wǒ de yìsi shì	"What I mean is	"What I mean is." Used to clarify when you sense you have been misunderstood, or to preface a more careful restatement of your point. Roughly equivalent to English "what I'm trying to say is…"	daily spoken language etiquette
我个人认为	wǒ gèrén rènwéi	"Personally, I think	"Personally, I think." The 个人 (gèrén, "personal") explicitly marks the view as your own and not a claim about consensus. Common in discussions and slightly more formal exchanges. Useful for stating a minority opinion without inviting argument.	daily spoken language etiquette
我见	wǒjiàn	personal view; one's own opinion		grammar humanity social
我觉得	wǒ juéde	"I feel" or "I think	"I feel" or "I think." The default opinion frame in spoken Chinese. Softer than 我认为 (wǒ rènwéi, "I hold the view that"), which is the more formal written-register equivalent. 我觉得 carries no special weight; it is the natural way to introduce any personal take.	daily spoken language etiquette
我来帮你 · 他去买菜	wǒ lái bāng nǐ · tā qù mǎi cài	I came to help you · he went to buy groceries	来 and 去 can be followed directly by a verb of purpose: "come/go in order to do [V]." This is structurally simple: 来/去 + verb phrase. The motion establishes the direction; the following verb specifies the purpose of the trip. This is one of the most frequent patterns in everyday speech.	direction complement motion
我们	wǒmen	we, us		grammar humanity social
我明白了	wǒ míngbai le	I understand now; I get it (I have entered a state of understanding)	State-change verbs like 明白 (understand), 知道 (know), 懂 (grasp), 累 (tired), 饿 (hungry), 高兴 (happy) pair powerfully with sentence-final 了. The 了 marks the entry into that state , the moment the change occurs. Before: didn't understand. After: understands.	daily spoken language etiquette aspect particle tense
我是在北京出生的	wǒ shì zài Běijīng chūshēng de	I was born in Beijing (FOCUS: in Beijing, not elsewhere)	Place focus with 在 + location between 是 and the verb. The presupposition is that the speaker was born , the focus is the location. This is how Chinese speakers typically answer "Where were you born?" — using 是…的 to frame the location as the focused new information.	focus cleft past
我要红的	wǒ yào hóng de	I want the red one — 的 stands alone as nominal	When the noun after 的 is already understood from context, it can be dropped , leaving 的 to function as a standalone noun phrase meaning "the one(s) that are X." This is the nominalizing function of 的, productive across all the adjective and clause patterns above.	particle complement adverb
我也这么觉得	wǒ yě zhème juéde	"I feel the same way" or "I think so too	"I feel the same way" or "I think so too." Personal endorsement that aligns your view with the speaker's. Warmer than a simple agreement; signals shared perspective.	daily spoken language etiquette
我一说他就明白了	wǒ yī shuō tā jiù míngbai le	I said it once and he immediately understood	一 + Verb + 就 is one of the most important patterns in the language: "as soon as / the moment I did X, immediately Y happened." The 就 marks the near-instant consequence , no delay, no difficulty.	adverb timing emphasis
我有不同的看法	wǒ yǒu bù tóng de kànfǎ	"I see it differently" or "I have a different view	"I see it differently" or "I have a different view." The most direct of the gentle disagreement frames. Acknowledges the other view exists and explicitly marks your own as separate. Useful when you actually want to make the disagreement clear.	daily spoken language etiquette
卧房	wòfáng	bedroom	卧 (wò, to lie down) plus 房. The room for sleeping. In everyday speech 卧室 (wòshì) is now more common, but 卧房 survives and shows the same logic: the chamber where one lies down.	home daily-life settlement characters
握手	wòshǒu	to shake hands	握 wò (to grasp) + 手 shǒu (hand). To shake hands , the standard formal greeting gesture in modern Chinese business and official contexts. Traditional Chinese greeting was bowing or clasping one's own hands together (拱手 gǒngshǒu) rather than hand-to-hand contact.	body culture
渥堆	wò duī	wet piling — the accelerated post-fermentation process		tea dark-tea puerh culinary history yunnan
乌	wū	crow-black; dark		color darkness symbolism
乌龙茶	wūlóngchá	oolong — also begins with a controlled wither		tea white-tea culinary fujian culture drink dark-tea puerh history yunnan black-tea trade yellow-tea green-tea brewing
乌云	wūyún	dark clouds; storm clouds		nature cosmology classical
巫师	wūshī	sorcerer; shaman-figure (ancient Chinese)		shamanism manchu indigenous
屋顶	wūdǐng	roof; rooftop	屋 wū (dwelling) + 顶 dǐng (top; summit; to carry on the head). The roof , the top of a dwelling. 在屋顶上 = on the rooftop. Also used figuratively in the idiom 屋漏偏逢连夜雨.	space dwelling architecture
屋里	wūlǐ	inside the room; indoors	屋 (wū, room, building) + 里 (interior). The most domestic use of 里 , the interior of the dwelling, the warm and enclosed space against the outdoors. 屋里人 (wūlǐ rén, the person inside the room) was a classical and regional euphemism for one's wife , the person who keeps the interior.	direction space daily-life geography
屋子	wūzi	room; the inside of a dwelling	屋 wū + 子 zi (nominalization suffix). The colloquial word for a room or the interior of a small house. Warmer and more intimate than 房间. Used in everyday spoken Chinese for the space one actually lives in.	space dwelling architecture
无常	wúcháng	impermanence		buddhism transmission history
无道	wúdào	without principle; tyrannical; having lost the Way	无 wú (without; lacking) + 道 dào (Way; moral principle). Classical term for a ruler who has abandoned virtue and lost the mandate of heaven, whose governance has become purely arbitrary and cruel. Still used in historical and literary contexts, and occasionally in strong rhetorical condemnation.	daoism philosophy path
无害	wúhài	harmless		emotion society characters
无礼	wúlǐ	discourteous; without 礼		courtesy etiquette social daily-life
无量寿经	Wúliángshòu jīng	the Larger Sukhāvatīvyūha · ~20,000 characters · Saṅghavarman's 252 CE translation	The long Amitabha Sutra. The foundational narrative: the bodhisattva Dharmākara (法藏 Fǎzàng), aeons ago, makes 48 great vows describing the perfect Buddha-land he intends to create; he then accomplishes them, becoming Amitābha, and his Pure Land becomes the destination of those who call his name.	buddhism classics religion pure-land amitabha faith philosophy chan
无聊	wúliáo	bored; boring; pointless		daoism philosophy negation cosmology wuwei
无论	wúlùn	no matter (what, who, how); regardless	无 wú (without) + 论. A conjunction introducing an exhaustive condition: whatever the case, the main clause still holds. Pairs with 都 or 也 in the second clause. More formal than 不管.	communication rhetoric language characters
无名	wúmíng	nameless; unknown; unnamed		daoism philosophy negation cosmology wuwei
无视	wúshì	to ignore, to disregard		daoism philosophy negation cosmology wuwei
无数	wúshù	countless; innumerable		cosmology scale language
无私	wúsī	selfless, without private interest		daoism philosophy negation cosmology wuwei
无所不知	wú suǒ bù zhī	knowing everything; omniscient		grammar classical syntax passive literary particles confucianism analects
无所谓	wúsuǒwèi	it doesn't matter; whatever		daoism philosophy negation cosmology wuwei grammar classical syntax passive literary particles confucianism analects
无所作为	wúsuǒ zuòwéi	to accomplish nothing; to be ineffectual; to do nothing of consequence	无 wú (without) + 所 suǒ (that which; the place of; a nominalizer in classical grammar) + 作为 zuòwéi (accomplishment; what one does; something achieved). A critique: the person who had the position, the time, the resources, and produced nothing.	daoism daodejing laozi wuwei philosophy
无意	wúyì	unintentional		meaning mind emotion characters
无意义	wú yìyì	meaningless; without value or significance	The serious register negation. 无意义 is used for things that lack weight, purpose, or value at a meaningful level , not just boring (没意思) but genuinely without worth. Common in philosophical, psychological, and social commentary.	meaning gift register
无用	wúyòng	useless; of no use		daoism philosophy daily-life grammar
无用之用	wúyòng zhī yòng	the use of uselessness; the utility found in apparent absence or emptiness	无用 wúyòng (useless; without direct utility) + 之 zhī (classical possessive/linking particle) + 用 yòng (use; utility; function). Laozi's paradox that the empty space inside the wheel hub, the hollow of the vessel, the opening of the door , these apparent absences are where actual function lives.	daoism daodejing laozi wuwei philosophy
无余涅槃	wúyú nièpán	nirvana without remainder; final liberation at the dissolution of the body	无余 (without remainder) + 涅槃. Sanskrit parinirvāṇa. The death of an awakened being, when the residual karmic body itself dissolves and the cycle of rebirth definitively ends.	buddhism philosophy religion classics
无缘	wú yuán	to have no karmic connection; not fated to be together	The absence of karmic connection , not fated to meet, to succeed, or to be together. 无缘 can be used philosophically and without bitterness to accept failure or rejection: 和这份工作无缘 (it was not my fate to have this job) is a graceful way to accept an outcome without assigning blame.	buddhism fate romance
无知	wúzhī	ignorance; knowing nothing		knowing philosophy confucianism education
吴	wú	Eastern Wu — the southeast, master of the river	Founded by 孙权 Sun Quan, who inherited the southeastern domains built by his father and brother and formally took the imperial title in 229. Wu commanded the lower 长江 Yangtze and the southern coast, with its capital at 建业 (modern Nanjing).	history dynasty han statecraft strategy classical
五常	wǔcháng	the Five Constants; the five cardinal virtues of Confucian ethics	仁 rén · 义 yì · 礼 lǐ · 智 zhì · 信 xìn. The five virtues held to be universal moral constants across cultures and times.	philosophy confucianism virtue ethics classical buddhism knowing
五谷	wǔgǔ	the five grains; staple crops	五 wǔ + 谷 gǔ (grain). The five staple grains of ancient China, variously listed (commonly rice, two kinds of millet, wheat, and beans). The exact list shifted by region and era, but the number stayed fixed at five.	cosmology philosophy language
五官	wǔguān	the five facial features; the five senses	五 wǔ + 官 guān (organ; office). The five sense organs of the face: eyes, ears, nose, tongue, and (in the common reckoning) the mouth or skin.	cosmology philosophy language
